Genename,identifier
PAU2,1235
TCA17,1236
FRD1,1237
GLY1,1238
YEL045C,1239
IES6,1240
YEL043W,1241
GDA1,1242
YEF1,1243
UTR2,1244
CYC7,1245
UTR4,1246
RAD23,1247
ANP1,1248
UTR5,1249
HYP2,1250
MTC7,1251
MCM3,1252
SPF1,1253
ECM10,1254
BUD16,1255
YEL028W,1256
VMA3,1257
SNU13,1258
YEL025C,1259
RIP1,1260
YEL023C,1261
GEA2,1262
URA3,1263
TIM9,1264
PXP1,1265
MMS21,1266
EAF5,1267
PMP2,1268
GTT3,1269
NPP2,1270
EDC3,1271
YEL014C,1272
VAC8,1273
UBC8,1274
GLC3,1275
YEL010W,1276
GCN4,1277
YEL008W,1278
MIT1,1279
YEA6,1280
VAB2,1281
YEA4,1282
GIM4,1283
WBP1,1284
IRC22,1285
MNN1,1286
NOP16,1287
PMI40,1288
FMP52,1289
YND1,1290
NUG1,1291
PAC2,1292
TMA20,1293
SEC3,1294
NTF2,1295
YER010C,1296
TIR1,1297
PRE1,1298
PRP22,1299
HEM14,1300
BUD25,1301
FAA2,1302
BIM1,1303
AFG3,1304
SPC25,1305
ISC1,1306
SBH2,1307
GPA2,1308
RPN3,1309
SRB4,1310
PRO3,1311
YAT2,1312
GCD11,1313
CHO1,1314
GAL83,1315
MIG3,1316
SMB1,1317
CHZ1,1318
YPT31,1319
FIR1,1320
ZRG8,1321
YER034W,1322
EDC2,1323
ARB1,1324
PHM8,1325
KRE29,1326
HVG1,1327
YER039C-A,1328
GLN3,1329
YEN1,1330
MXR1,1331
SAH1,1332
ERG28,1333
MEI4,1334
ACA1,1335
SPO73,1336
SAP1,1337
CAJ1,1338
ISD11,1339
TPA1,1340
RSM18,1341
JHD1,1342
HOM3,1343
PIC2,1344
HIS1,1345
FCY2,1346
RPL34A,1347
HMF1,1348
PET117,1349
PCL6,1350
FCY21,1351
FCY22,1352
CEM1,1353
GPP2,1354
THO1,1355
VHR2,1356
ICL1,1357
RRT13,1358
YER066C-A,1359
RGI1,1360
MOT2,1361
"ARG5,6",1362
RNR1,1363
TDA2,1364
VTC1,1365
ALD5,1366
RPS24A,1367
YOS1,1368
PTP3,1369
YER076C,1370
MRX1,1371
ICP55,1372
YER079W,1373
AIM9,1374
SER3,1375
UTP7,1376
GET2,1377
YER084W,1378
YER085C,1379
ILV1,1380
AIM10,1381
SBH1,1382
DOT6,1383
PTC2,1384
TRP2,1385
MET6,1386
YER091C-A,1387
IES5,1388
TSC11,1389
AIM11,1390
PUP3,1391
RAD51,1392
SHC1,1393
YER097W,1394
UBP9,1395
PRS2,1396
UBC6,1397
AST2,1398
RPS8B,1399
SSA4,1400
RTT105,1401
NUP157,1402
MAM1,1403
GLE2,1404
FLO8,1405
KAP123,1406
SWI4,1407
LSM4,1408
TMN3,1409
BOI2,1410
SPR6,1411
SLX8,1412
RPL23B,1413
SHO1,1414
AVT6,1415
YER119C-A,1416
SCS2,1417
YER121W,1418
GLO3,1419
YCK3,1420
DSE1,1421
RSP5,1422
NSA2,1423
LCP5,1424
VFA1,1425
SAK1,1426
COM2,1427
RPS26B,1428
PMD1,1429
GLC7,1430
YER134C,1431
YER135C,1432
GDI1,1433
YER137C,1434
YER138W-A,1435
RTR1,1436
EMP65,1437
COX15,1438
MAG1,1439
DDI1,1440
UBP5,1441
FTR1,1442
LSM5,1443
SCC4,1444
SPT15,1445
PEA2,1446
SPI1,1447
UBP3,1448
YER152C,1449
PET122,1450
OXA1,1451
BEM2,1452
YER156C,1453
COG3,1454
YER158C,1455
BUR6,1456
SPT2,1457
RAD4,1458
GCG1,1459
CHD1,1460
PAB1,1461
DNF1,1462
BCK2,1463
CCA1,1464
RPH1,1465
ADK2,1466
RAD3,1467
BRR2,1468
RAD24,1469
GRX4,1470
TMT1,1471
ECM32,1472
BMH1,1473
PDA1,1474
DMC1,1475
ISC10,1476
YER181C,1477
FMP10,1478
FAU1,1479
TOG1,1480
PUG1,1481
YER186C,1482
YER187W,1483
YER188W,1484
YER189W,1485
YRF1-2,1486
YFL068W,1487
YFL067W,1488
YFL066C,1489
YFL065C,1490
YFL064C,1491
YFL063W,1492
COS4,1493
DDI2,1494
SNO3,1495
SNZ3,1496
THI5,1497
AAD16,1498
AAD6,1499
AGP3,1500
AQY3,1501
DAK2,1502
ZNF1,1503
YFL051C,1504
ALR2,1505
SWP82,1506
EMP47,1507
RGD2,1508
FMP32,1509
SEC53,1510
OTU1,1511
LAM5,1512
FET5,1513
YFL040W,1514
ACT1,1515
YPT1,1516
TUB2,1517
RPO41,1518
MOB2,1519
RPL22B,1520
MIL1,1521
RIM15,1522
YFL032W,1523
HAC1,1524
AGX1,1525
CAK1,1526
CAF16,1527
GYP8,1528
STE2,1529
BST1,1530
EPL1,1531
BUD27,1532
FRS2,1533
GAT1,1534
PAU5,1535
YFL019C,1536
LPD1,1537
SMX2,1538
GNA1,1539
MDJ1,1540
YFL015C,1541
HSP12,1542
YFL012W-A,1543
IES1,1544
YFL012W,1545
HXT10,1546
AUA1,1547
WWM1,1548
CDC4,1549
SMC1,1550
BLM10,1551
YFL006W,1552
SEC4,1553
VTC2,1554
MSH4,1555
SPB4,1556
DEG1,1557
LOC1,1558
NIC96,1559
YPI1,1560
RPN11,1561
SAD1,1562
YFR006W,1563
YFH7,1564
FAR7,1565
GCN20,1566
UBP6,1567
MIC19,1568
